country_code, year, co2(tonnes), gdp(USD), pop_rel, pop_tot, electric_sources(Kwh)
BTN,1990,128240,299787275.842376,1.638239725,530804,
BTN,1991,176118.57,250045839.929639,0.718582153,534632,
BTN,1992,205377.84,250794359.567901,-0.021699522,534516,
BTN,1993,173027.29,235239570.350935,-0.359850151,532596,
BTN,1994,201608.38,270801565.189672,-0.131330145,531897,
BTN,1995,236141.34,303053462.843047,0.510635258,534620,
BTN,1996,285310.52,316420860.852385,1.272221493,541465,
BTN,1997,376838.02,365964500.137703,1.874230428,551709,
BTN,1998,367162.83,376955087.251575,2.270173455,564377,
BTN,1999,370760.92,419035810.496981,2.364549721,577881,
BTN,2000,381687.01,424464089.897641,2.248358465,591021,
BTN,2001,369013.18,461444513.66815,2.112644398,603640,
BTN,2002,401709.84,520849551.532606,2.029819014,616018,
BTN,2003,361126.5,604041957.921855,1.900758029,627839,
BTN,2004,290479.13,682523857.01677,1.733113342,638815,
BTN,2005,378123.09,796938120.181406,1.541558106,648739,
BTN,2006,373005.72,874989895.601121,1.32773939,657410,
BTN,2007,372026.62,1168308516.63301,1.129268455,664876,
BTN,2008,400823.87,1227808790.6733,1.008172467,671613,
BTN,2009,367800.95,1234014291.82342,0.99412939,678323,
BTN,2010,464157.57,1547991317.81183,1.052929968,685503,
BTN,2011,667463.58,1777101316.67756,1.130704583,693298,
BTN,2012,753807.04,1781281281.57912,1.187928924,701583,
BTN,2013,853144.38,1756215665.09323,1.22609147,710238,
BTN,2014,919603.68,1907090813.45906,1.233911551,719056,
BTN,2015,987956.94,2003598212.99135,1.219146338,727876,
BWA,1972,21984,165258093.875959,3.159145617,667092,
BWA,1973,51296,244129088.027662,3.363608579,689912,
BWA,1974,87936,306033848.417954,3.531561112,714712,
BWA,1975,186864,355172413.793103,3.659992855,741355,
BWA,1976,593568,372010119.595216,3.788364885,769979,
BWA,1977,780432,451603325.415677,3.890951739,800529,
BWA,1978,831728,590376720.598889,3.912082229,832467,
BWA,1979,941648,819877300.613497,3.842262695,865075,
BWA,1980,985616,1060923829.13021,3.72068558,897868,
BWA,1981,1007600,1073861599.13948,3.560013544,930408,0
BWA,1982,1099200,1014907254.54016,3.430040105,962875,0
BWA,1983,1029584,1172258182.14969,3.395417048,996130,0
BWA,1984,1044240,1240796364.75662,3.483242243,1031439,0
BWA,1985,1157824,1114764007.14811,3.631300334,1069582,0
BWA,1986,1066224,1392634771.9653,3.794128627,1110943,0
BWA,1987,1238432,1965274882.36345,3.880975117,1154906,0
BWA,1988,1300720,2644536804.11244,3.835843319,1200067,0
BWA,1989,1428960,3083800684.89751,3.634359761,1244484,0
BWA,1990,2700368,3790567051.86778,3.340333628,1286756,0
BWA,1991,2634416,3942792837.35655,3.028537543,1326322,0
BWA,1992,2777312,4146513722.33019,2.76848286,1363554,0
BWA,1993,3195008,4160086253.1468,2.57417937,1399110,0
BWA,1994,3030128,4259330999.03151,2.46725648,1434059,0
BWA,1995,3044784,4730611067.02258,2.419145312,1469174,0
BWA,1996,2755328,4847752842.78924,2.391314201,1504730,0
BWA,1997,2799296,5020214747.45261,2.344487226,1540425,0
BWA,1998,3341568,4790458837.17078,2.271995769,1575824,0
BWA,1999,3158368,5484257417.17844,2.161983064,1610264,0
BWA,2000,3777584,5788329609.15755,2.032896436,1643334,0
BWA,2001,3847200,5489608299.66445,1.889380292,1674678,0
BWA,2002,3975440,5438857106.73536,1.773421002,1704642,0
BWA,2003,3825216,7511582173.37724,1.730526111,1734398,0
BWA,2004,3894832,8957467706.5354,1.778885026,1765527,0
BWA,2005,4092688,9918907108.09702,1.882508206,1799078,0
BWA,2006,4132992,10137883299.3156,2.026487056,1835908,0
BWA,2007,4228256,10939053365.4786,2.131424745,1875459,0
BWA,2008,4503056,10945070441.9283,2.119781897,1915639,0
BWA,2009,3759264,10267133177.7334,1.957036327,1953498,0
BWA,2010,4653585.98,12786654498.3514,1.705719395,1987105,0
BWA,2011,4138367.31,15351972361.1477,1.413987357,2015402,0
BWA,2012,4185619.24,14380004175.1194,1.191100637,2039551,0
BWA,2013,5184760.08,14901750991.2012,1.120660803,2062536,1000000
BWA,2014,6986805.22,16250781586.6579,1.256439448,2088614,1000000
BWA,2015,7102967.37,14420593484.0557,1.525307942,2120716,1000000
CAF,1961,87936,123134584.467673,1.611669196,1526066,
CAF,1962,73280,124482748.937917,1.679324813,1551910,
CAF,1963,73280,129379097.888958,1.753960296,1579370,
CAF,1964,73280,142025069.461676,1.834814863,1608616,
CAF,1965,87936,150574816.300764,1.91427755,1639706,
CAF,1966,84272,157930041.875883,2.011282131,1673019,
CAF,1967,91600,163820538.867947,2.087011594,1708302,
CAF,1968,183200,191767436.956884,2.079266311,1744194,
CAF,1969,186864,188039191.323608,1.968071402,1778861,
CAF,1970,208848,189106554.521277,1.798541797,1811144,
CAF,1971,183200,201450768.367553,1.608836392,1840518,
CAF,1972,168544,230317908.038643,1.47045769,1867782,
CAF,1973,161216,271183061.359635,1.438963233,1894853,
CAF,1974,113584,281398668.160613,1.546673215,1924388,
CAF,1975,102592,378660016.265936,1.750296759,1958367,
CAF,1976,128240,451152449.984411,1.954210222,1997014,
CAF,1977,128240,507298120.68315,2.125703626,2039919,
CAF,1978,146560,610578523.761178,2.313515734,2087663,
CAF,1979,102592,700764892.704831,2.512358872,2140777,
CAF,1980,106256,797048028.773247,2.699574299,2199356,
CAF,1981,135568,694803502.722356,2.916378073,2264442,
CAF,1982,142896,748312283.726758,3.08261224,2335333,
CAF,1983,146560,658679394.907969,3.077366993,2408317,
CAF,1984,150224,637820620.670195,2.86777646,2478382,
CAF,1985,161216,864849765.059665,2.541172574,2542169,
CAF,1986,161216,1122265026.38274,2.163226653,2597761,
CAF,1987,260144,1200991825.95398,1.871655546,2646840,
CAF,1988,230832,1264899368.20165,1.765058004,2693973,
CAF,1989,249152,1233930277.04922,1.903137882,2745734,
CAF,1990,197856,1440711395.67069,2.197309532,2806734,
CAF,1991,205184,1377375030.52921,2.525092196,2878509,
CAF,1992,216176,1411917558.45855,2.765867515,2959236,
CAF,1993,223504,1278781166.72188,2.894704298,3046149,
CAF,1994,234496,851174350.649409,2.875578887,3135015,
CAF,1995,234496,1115389731.79119,2.757190552,3222656,
CAF,1996,234496,1007791186.20106,2.620834571,3308233,
CAF,1997,245488,937741468.029676,2.513403742,3392436,
CAF,1998,249152,967338348.658314,2.418780432,3475492,
CAF,1999,263808,999477510.686632,2.34664723,3558014,
CAF,2000,267472,914500299.097034,2.289845843,3640427,
CAF,2001,245488,931833302.752857,2.216501186,3722018,
CAF,2002,245488,991387870.12463,2.129491567,3802128,
CAF,2003,234496,1139754799.16304,2.057857877,3881181,
CAF,2004,234496,1270080250.65268,2.007297035,3959875,
CAF,2005,234496,1337362392.15225,1.963165759,4038382,
CAF,2006,249152,1460561215.4447,1.954024747,4118069,
CAF,2007,252816,1697565948.65323,1.922623931,4198010,
CAF,2008,252816,1985240986.18508,1.779120362,4273366,
CAF,2009,252816,2059094048.26019,1.49251562,4337625,
CAF,2010,263808,2142591375.85053,1.126577396,4386768,
CAF,2011,278464,2437982839.63072,0.723831391,4418636,
CAF,2012,293120,2510126699.05356,0.401556668,4436415,
CAF,2013,296784,1691544192.38242,0.259489943,4447942,
CAF,2014,300448,1894813504.52945,0.364290952,4464175,
CAF,2015,303462.51,1695825708.45604,0.647403919,4493170,
CAN,1961,194000693.6,40934952063.9468,2.00112211,18271000,0
CAN,1962,206990771.2,42227447631.9159,1.859888233,18614000,0
CAN,1963,210910775.7,45029988561.2124,1.862845928,18964000,0
CAN,1964,237577733.3,49377522896.703,1.885714943,19325000,0
CAN,1965,251916994.9,54515179580.7148,1.810166597,19678000,0
CAN,1966,259074370.8,61088384036.6515,1.862813771,20048000,0
CAN,1967,281637036.1,65668655501.1254,1.799356505,20412000,0
CAN,1968,303261340.1,71829810519.8955,1.613408503,20744000,0
CAN,1969,307119205.2,79148411661.6902,1.359783472,21028000,0
CAN,1970,341177214.4,87896095320.1263,1.3978316,21324000,0
CAN,1971,352285083.9,99271961774.6088,2.948194528,21962032,0
CAN,1972,380786581.1,113082820486.918,1.160846567,22218463,0
CAN,1973,381264658.9,131321858814.119,1.222616584,22491777,0
CAN,1974,389605214.8,160408697341.513,1.396021669,22807969,0
